cluster_id,complex_name,addr_legal,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,level1,level2,level3,level4L,level5,representative_method,parcel_count,centroid_spread_m,coord_source,coord_fetched_at,coord_license_note,qa_flag,error_code,needs_review
A10026473,동탄2 LH1단지 A6블록아파트,경기도 화성동탄구 영천동  동탄2 LH1단지 A6블록아파트,영천동 2,fallback,PARCEL,OK,37.589768411401664,127.16074132907144,EPSG:4326,경기도 구리시 토평동 2-1,경기도,구리시,,토평동,2-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:41.721136+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026501,미사강변 동일하이빌,경기도 하남시 풍산동 470 미사강변 동일하이빌,경기도 하남시 풍산동 470,full,PARCEL,OK,37.55828955835355,127.1839628500262,EPSG:4326,경기도 하남시 풍산동 470,경기도,하남시,,풍산동,470,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:42.211280+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026503,김포 반도유보라6차 아파트,경기도 김포시 운양동 1340-7 김포 반도유보라6차 아파트,경기도 김포시 운양동 1340-7,full,PARCEL,OK,37.65214055630348,126.68398758612915,EPSG:4326,경기도 김포시 운양동 1340-7,경기도,김포시,,운양동,1340-7,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:42.697563+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026529,한강신도시 반도유보라4차아파트,경기도 김포시 구래동 6886-6 한강신도시 반도유보라4차아파트,경기도 김포시 구래동 6886-6,full,PARCEL,OK,37.646285651035086,126.63011553415583,EPSG:4326,경기도 김포시 구래동 6886-6,경기도,김포시,,구래동,6886-6,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:44.135783+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026535,동탄금강펜테리움센트럴파크4,경기도 화성동탄구 목동  동탄금강펜테리움센트럴파크4,목동 4,fallback,PARCEL,OK,37.38620138967917,127.21713086882222,EPSG:4326,경기도 광주시 목동 4,경기도,광주시,,목동,4,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:45.112772+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026555,이랜드타운힐스아파트,경기도 김포시 운양동 1304-1 이랜드타운힐스아파트,경기도 김포시 운양동 1304-1,full,PARCEL,OK,37.65452245449799,126.67671377522353,EPSG:4326,경기도 김포시 운양동 1304-1,경기도,김포시,,운양동,1304-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:45.601075+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026562,다산한양수자인리버팰리스,경기도 남양주시 다산동 6024 다산한양수자인리버팰리스,경기도 남양주시 다산동 6024,full,PARCEL,OK,37.62541411166309,127.14600238584117,EPSG:4326,경기도 남양주시 다산동 6024,경기도,남양주시,,다산동,6024,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:46.053013+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026584,호반베르디움22단지,경기도 화성동탄구 목동  호반베르디움22단지,목동 22,fallback,PARCEL,OK,37.386763975384326,127.21465003394201,EPSG:4326,경기도 광주시 목동 22,경기도,광주시,,목동,22,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:48.112435+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026587,레이크반도유보라아이비파크9.0,경기도 화성동탄구 장지동 1009 레이크반도유보라아이비파크9.0,경기도 화성동탄구 장지동 1009,full,PARCEL,OK,37.16243701111719,127.11725225063822,EPSG:4326,경기도 화성시 동탄구 장지동 1009,경기도,화성시 동탄구,,장지동,1009,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:48.604995+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10026608,한강신도시리버에일린의 뜰,경기도 김포시 운양동 1305-1 한강신도시리버에일린의 뜰,경기도 김포시 운양동 1305-1,full,PARCEL,OK,37.653682052063544,126.67268552414315,EPSG:4326,경기도 김포시 운양동 1305-1,경기도,김포시,,운양동,1305-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:50.962407+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10026619,미사 레스티아 아파트,경기도 하남시 망월동 1177 미사 레스티아 아파트,경기도 하남시 망월동 1177,full,PARCEL,OK,37.557735448569744,127.19795831793206,EPSG:4326,경기도 하남시 망월동 1177,경기도,하남시,,망월동,1177,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:13:51.425342+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
