development,시도,시군구,읍면,동리,단지코드,단지명,법정동주소,도로명주소,사용승인일,세대수
김포 한강,경기도,김포시,,구래동,A41576915,호수마을e편한세상,경기도 김포시 구래동 6874-17 호수마을e편한세상,경기도 김포시 김포한강5로 385,20130226,1167.0
김포 한강,경기도,김포시,,마산동,A41576916,한강힐스테이트아파트,경기도 김포시 마산동 636-1 한강힐스테이트아파트,경기도 김포시 김포한강7로22번길 22,20130228,1382.0
김포 한강,경기도,김포시,,운양동,A41574414,한강신도시푸르지오,경기도 김포시 운양동 1407-5 한강신도시푸르지오,경기도 김포시 김포한강11로 179,20130614,812.0
김포 한강,경기도,김포시,,운양동,A41574204,한강한라비발디,경기도 김포시 운양동 1249-1 한강한라비발디,경기도 김포시 김포한강11로255번길 149,20130626,857.0
김포 한강,경기도,김포시,,마산동,A41590101,김포한강상록데시앙,경기도 김포시 마산동 672-6 김포한강상록데시앙,경기도 김포시 김포한강8로 173-27,20131101,490.0
김포 한강,경기도,김포시,,운양동,A41574205,김포한강신도시반도유보라2차,경기도 김포시 운양동 1300-3 김포한강신도시반도유보라2차,경기도 김포시 김포한강11로 276,20131114,1498.0
김포 한강,경기도,김포시,,구래동,A41576917,호수마을이편한세상3단지,경기도 김포시 구래동 6874-6 호수마을이편한세상3단지,경기도 김포시 김포한강4로420번길 164,20140225,551.0
김포 한강,경기도,김포시,,운양동,A41574207,한강신도시롯데캐슬,경기도 김포시 운양동 1301-1 한강신도시롯데캐슬,경기도 김포시 김포한강11로 275,20140409,1136.0
김포 한강,경기도,김포시,,운양동,A41574206,풍경마을 래미안 한강2차,경기도 김포시 운양동 1304-5 풍경마을 래미안 한강2차,경기도 김포시 김포한강11로 227,20140603,1711.0
김포 한강,경기도,김포시,,장기동,A41574416,청송마을모아미래도엘가,경기도 김포시 장기동 1869-5 청송마을모아미래도엘가,경기도 김포시 김포한강2로 273,20140616,1060.0
김포 한강,경기도,김포시,,구래동,A41576918,김포한강나비마을3단지,경기도 김포시 구래동 6895-4 김포한강나비마을3단지,경기도 김포시 김포한강10로134번길 77,20140929,690.0
김포 한강,경기도,김포시,,구래동,A10027957,구래역화성파크드림아파트,경기도 김포시 구래동 6888 구래역화성파크드림아파트,경기도 김포시 김포한강8로 365,20150629,820.0
김포 한강,경기도,김포시,,운양동,A10027631,한강신도시 운양역 푸르지오,경기도 김포시 운양동 1306-2 한강신도시 운양역 푸르지오,경기도 김포시 모담공원로 17,20160205,242.0
김포 한강,경기도,김포시,,구래동,A10027505,LH호수마을 5단지아파트,경기도 김포시 구래동 6875-9 LH호수마을 5단지아파트,경기도 김포시 김포한강4로420번길 87,20160421,890.0
김포 한강,경기도,김포시,,마산동,A10027062,한강신도시 반도유보라3차,경기도 김포시 마산동 640-5 한강신도시 반도유보라3차,경기도 김포시 김포한강8로 173-28,20170213,662.0
김포 한강,경기도,김포시,,운양동,A10027079,하늘빛마을 한신더휴테라스 11블럭,경기도 김포시 운양동 1337-1 하늘빛마을 한신더휴테라스 11블럭,경기도 김포시 김포한강1로 309,20170227,157.0
김포 한강,경기도,김포시,,운양동,A10027017,하늘빛마을 한신더휴테라스 8블럭,경기도 김포시 운양동 1339-1 하늘빛마을 한신더휴테라스 8블럭,경기도 김포시 김포한강11로 288-48,20170227,232.0
김포 한강,경기도,김포시,,운양동,A10027093,한신더휴테라스 9블럭,경기도 김포시 운양동 1293-4 한신더휴테라스 9블럭,경기도 김포시 김포한강11로 388,20170227,184.0
김포 한강,경기도,김포시,,운양동,A10027030,한신더휴테라스12BL아파트,경기도 김포시 운양동 1288-1 한신더휴테라스12BL아파트,경기도 김포시 김포한강11로438번길 123,20170428,351.0
김포 한강,경기도,김포시,,구래동,A10027014,한강신도시3차푸르지오,경기도 김포시 구래동 6895-2 한강신도시3차푸르지오,경기도 김포시 김포한강8로 409,20170523,1510.0
김포 한강,경기도,김포시,,마산동,A10026773,한강센트럴블루힐,경기도 김포시 마산동 637-3 한강센트럴블루힐,경기도 김포시 김포한강8로 15,20170814,1763.0
김포 한강,경기도,김포시,,장기동,A10026825,김포e편한세상캐널시티주상복합,경기도 김포시 장기동 2031 김포e편한세상캐널시티주상복합,경기도 김포시 김포한강2로 41,20170830,639.0
김포 한강,경기도,김포시,,마산동,A10026763,김포한강신도시 레이크에일린의 뜰,경기도 김포시 마산동 616-3 김포한강신도시 레이크에일린의 뜰,경기도 김포시 김포한강8로 281,20170915,578.0
김포 한강,경기도,김포시,,운양동,A10026608,한강신도시리버에일린의 뜰,경기도 김포시 운양동 1305-1 한강신도시리버에일린의 뜰,경기도 김포시 김포대로 1430,20171121,439.0
김포 한강,경기도,김포시,,구래동,A10026654,김포한강신도시 모아엘가 2차아파트,경기도 김포시 구래동 6888-6 김포한강신도시 모아엘가 2차아파트,경기도 김포시 김포한강9로12번길 50,20171123,493.0
김포 한강,경기도,김포시,,운양동,A10026555,이랜드타운힐스아파트,경기도 김포시 운양동 1304-1 이랜드타운힐스아파트,경기도 김포시 김포한강11로255번길 15,20180111,550.0
김포 한강,경기도,김포시,,구래동,A10026458,한강신도시 반도유보라5차아파트,경기도 김포시 구래동 6873-19 한강신도시 반도유보라5차아파트,경기도 김포시 김포한강9로 116,20180123,480.0
김포 한강,경기도,김포시,,구래동,A10026529,한강신도시 반도유보라4차아파트,경기도 김포시 구래동 6886-6 한강신도시 반도유보라4차아파트,경기도 김포시 김포한강4로 487,20180124,461.0
김포 한강,경기도,김포시,,운양동,A10026216,한강신도시2차 KCC 스위첸 아파트,경기도 김포시 운양동 1331-1 한강신도시2차 KCC 스위첸 아파트,경기도 김포시 김포한강11로 37,20180214,1296.0
김포 한강,경기도,김포시,,구래동,A10026448,김포한강아이파크,경기도 김포시 구래동 6874-20 김포한강아이파크,경기도 김포시 김포한강4로420번길 100,20180219,1230.0
김포 한강,경기도,김포시,,구래동,A10026155,김포한강한가람LH2단지,경기도 김포시 구래동 6872-2 김포한강한가람LH2단지,경기도 김포시 김포한강4로 564,20180309,1500.0
김포 한강,경기도,김포시,,마산동,A10026098,e편한세상한강신도시2차,경기도 김포시 마산동 672-3 e편한세상한강신도시2차,경기도 김포시 김포한강8로 173-59,20180503,807.0
김포 한강,경기도,김포시,,마산동,A10025814,자이더빌리지 포레스트,경기도 김포시 마산동 670-7 자이더빌리지 포레스트,경기도 김포시 김포한강8로 118,20180619,184.0
김포 한강,경기도,김포시,,구래동,A10026066,호반베르디움 더 레이크5차,경기도 김포시 구래동 6877-2 호반베르디움 더 레이크5차,경기도 김포시 김포한강4로420번길 19,20180831,266.0
김포 한강,경기도,김포시,,구래동,A10025919,김포한강예미지 아파트,경기도 김포시 구래동 6893-2 김포한강예미지 아파트,경기도 김포시 김포한강9로 11,20180928,1770.0
김포 한강,경기도,김포시,,구래동,A10025936,호반베르디움 더 레이크 2차,경기도 김포시 구래동 6887-1 호반베르디움 더 레이크 2차,경기도 김포시 김포한강4로 471,20181102,344.0
김포 한강,경기도,김포시,,운양동,A10025865,한강롯데캐슬22단지,경기도 김포시 운양동 1441 한강롯데캐슬22단지,경기도 김포시 김포한강11로 107,20181107,912.0
김포 한강,경기도,김포시,,구래동,A10025866,호반베르디움 더 레이크 3차 아파트,경기도 김포시 구래동 6887-3 호반베르디움 더 레이크 3차 아파트,경기도 김포시 김포한강8로 332,20181204,336.0
김포 한강,경기도,김포시,,장기동,A10025059,김포한강 호반베르디움 더 퍼스트,경기도 김포시 장기동 1865-4 김포한강 호반베르디움 더 퍼스트,경기도 김포시 김포한강2로 361,20200203,696.0
김포 한강,경기도,김포시,양촌읍,양곡리,A10025008,김포한강삼정그린코아더베스트,경기도 김포시 양촌읍 양곡리 1551 김포한강삼정그린코아더베스트,경기도 김포시 양곡1로68번길 59,20200220,446.0
김포 한강,경기도,김포시,,구래동,A10024790,김포한강 데세리브아파트,경기도 김포시 구래동 6872-8 김포한강 데세리브아파트,경기도 김포시 김포한강9로115번길 37,20200615,434.0
김포 한강,경기도,김포시,,장기동,A10024637,김포장기 LH11단지,경기도 김포시 장기동 1696 김포장기 LH11단지,경기도 김포시 김포한강3로237번길 33,20200921,196.0
김포 한강,경기도,김포시,,마산동,A10024486,한강동일스위트더파크뷰1단지아파트,경기도 김포시 마산동 638-4 한강동일스위트더파크뷰1단지아파트,경기도 김포시 김포한강8로 173-88,20201217,1021.0
김포 한강,경기도,김포시,,마산동,A10024478,한강동일스위트더파크뷰2단지,경기도 김포시 마산동 672-1 한강동일스위트더파크뷰2단지,경기도 김포시 김포한강8로 127,20201217,711.0
김포 한강,경기도,김포시,,장기동,A10024387,김포한강 LH1단지,경기도 김포시 장기동 2060-2 김포한강 LH1단지,경기도 김포시 허산길 50,20210209,443.0
김포 한강,경기도,김포시,,장기동,A10023652,김포한강신도시 범양레우스라세느,경기도 김포시 장기동 1894-9 김포한강신도시 범양레우스라세느,경기도 김포시 김포한강1로 129,20220901,286.0
남양주 다산,경기도,남양주시,,다산동,A47291001,다산한신휴플러스,경기도 남양주시 다산동 4026-6 다산한신휴플러스,경기도 남양주시 미금로56번길 19,19991115,270.0
남양주 다산,경기도,남양주시,,다산동,A47279408,플루리움45단지아파트,경기도 남양주시 다산동 4002-1 플루리움45단지아파트,경기도 남양주시 도농로 34,20001109,2042.0
남양주 다산,경기도,남양주시,,다산동,A47279205,플루리움3단지,경기도 남양주시 다산동 4002-1 플루리움3단지,경기도 남양주시 도농로 34,20010509,1144.0
남양주 다산,경기도,남양주시,,다산동,A47270906,플루리움1단지,경기도 남양주시 다산동 4002-1 플루리움1단지,경기도 남양주시 도농로 34,20010913,1086.0
남양주 다산,경기도,남양주시,,다산동,A47279207,플루리움2단지,경기도 남양주시 다산동 4002-1 플루리움2단지,경기도 남양주시 도농로 34,20020122,1484.0
남양주 다산,경기도,남양주시,,다산동,A47291304,"다산리버펠리체아파트 1,2,3단지","경기도 남양주시 다산동 4432,경기도 남양주시 다산동 4432-4,경기도 남양주시 다산동 4432-2 다산리버펠리체아파트 1,2,3단지",경기도 남양주시 미금로57번길 20,20050531,1060.0
남양주 다산,경기도,남양주시,,다산동,A47291003,다산롯데아파트,경기도 남양주시 다산동 4433 다산롯데아파트,경기도 남양주시 미금로 24,20051031,708.0
남양주 다산,경기도,남양주시,,다산동,A47287901,동원베네스트,경기도 남양주시 다산동 3395 동원베네스트,경기도 남양주시 미금로 159,20051102,196.0
남양주 다산,경기도,남양주시,,다산동,A47291002,도농부영애시앙,경기도 남양주시 다산동 4001-29 도농부영애시앙,경기도 남양주시 도농로 24,20080521,364.0
남양주 다산,경기도,남양주시,,다산동,A47271002,다산한화꿈에그린,경기도 남양주시 다산동 3718 다산한화꿈에그린,경기도 남양주시 다산지금로16번길 56,20080829,767.0
남양주 다산,경기도,남양주시,,다산동,A47206005,가운휴먼시아1단지,경기도 남양주시 다산동 669 가운휴먼시아1단지,경기도 남양주시 가운로2길 28,20080905,1417.0
남양주 다산,경기도,남양주시,,다산동,A47206006,가운휴먼시아2단지,경기도 남양주시 다산동 671 가운휴먼시아2단지,경기도 남양주시 가운로2길 8,20080905,388.0
남양주 다산,경기도,남양주시,,다산동,A47206003,경남아너스빌,경기도 남양주시 다산동 683 경남아너스빌,경기도 남양주시 가운로2길 111,20080919,495.0
남양주 다산,경기도,남양주시,,다산동,A47206002,더힐포레,경기도 남양주시 다산동 673 더힐포레,경기도 남양주시 가운로2길 11,20080919,358.0
남양주 다산,경기도,남양주시,,다산동,A47206001,더힐포레(3단지),경기도 남양주시 다산동 674 더힐포레(3단지),경기도 남양주시 가운로2길 43,20080919,189.0
