kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A44516003,동탄시범다은마을센트럴파크뷰,경기도 화성동탄구 반송동 75 동탄시범다은마을센트럴파크뷰,경기도 화성시 동탄공원로1길 6-59,2008-02-29,20080229,438,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-02-29 < window 2014-01-01
A44516001,동탄우림필유타운하우스,경기도 화성동탄구 반송동 74 동탄우림필유타운하우스,경기도 화성시 동탄공원로1길 6-60,2008-03-28,20080328,286,18,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-03-28 < window 2014-01-01
A44517003,동탄예당마을롯데캐슬,경기도 화성동탄구 석우동 55 동탄예당마을롯데캐슬,경기도 화성시 동탄반석로 231,2008-08-28,20080828,1222,16,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-08-28 < window 2014-01-01
A44517004,예당마을우미린제일풍경채,경기도 화성동탄구 석우동 53 예당마을우미린제일풍경채,경기도 화성시 동탄반석로 277,2008-09-26,20080926,1316,15,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-09-26 < window 2014-01-01
A44517002,동탄예당마을푸르지오아파트,경기도 화성동탄구 석우동 49 동탄예당마을푸르지오아파트,경기도 화성시 동탄반석로 264,2008-10-08,20081008,978,9,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-10-08 < window 2014-01-01
A44517001,예당마을신일유토빌,경기도 화성동탄구 석우동 56 예당마을신일유토빌,경기도 화성시 동탄반석로 232,2008-10-28,20081028,626,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2008-10-28 < window 2014-01-01
A44516022,새강마을휴먼시아5단지2아파트,경기도 화성동탄구 반송동 159 새강마을휴먼시아5단지2아파트,경기도 화성시 동탄중앙로 99,2009-02-02,20090202,2342,19,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2009-02-02 < window 2014-01-01
A44575301,동탄 센트럴포레스트,경기도 화성동탄구 반송동 141 동탄 센트럴포레스트,경기도 화성시 동탄중앙로 119-14,2009-08-20,20090820,503,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2009-08-20 < window 2014-01-01
A44575302,동탄위버폴리스,경기도 화성동탄구 반송동 93-1 동탄위버폴리스,경기도 화성시 동탄지성로 17,2009-12-04,20091204,198,2,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2009-12-04 < window 2014-01-01
A44575307,동탄메타폴리스아파트,"경기도 화성동탄구 반송동 98,경기도 화성동탄구 반송동 96 동탄메타폴리스아파트","경기도 화성시 동탄중앙로 220,경기도 화성시 동탄중앙로 200",2010-09-03,20100903,1266,4,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2010-09-03 < window 2014-01-01
